# GOAE-Leistungskatalog fuer den Abrechnungskalkulator
#
# Quelle: Gebührenordnung für Ärzte (GOÄ)
#   amtliche Fassung von "Gesetze im Internet"
#   https://www.gesetze-im-internet.de/go__1982/
#   Datei BJNR015220982.xml, abgerufen 2026-05-14
# Stand: Neugefasst durch Bek. v. 9.2.1996 I 210; zuletzt geändert durch Art. 3b G v. 19.7.2023 I Nr. 197
#
# Erzeugt mit werkzeuge/katalog_erzeugen.py - nicht von Hand aendern.
# Eigene Ziffern gehoeren in eine zusaetzliche Datei und werden mit
#   kalkulator.py katalog-import <datei.csv>
# eingespielt.
#
# Der Eurobetrag ergibt sich nach § 5 Abs. 1 GOAE aus
#   Punktzahl x 0,0582873 EUR x Steigerungsfaktor.
# Die Betragsspalte des amtlichen Verzeichnisses ist noch in DM gefuehrt und
# daher hier nicht enthalten.
#
# Spalten:
#   nummer        GOAE-Nummer
#   bezeichnung   Leistungslegende (Leerzeichen normiert, sonst unveraendert)
#   punktzahl     Punktzahl nach dem Gebuehrenverzeichnis
#   abschnitt     Abschnitt B bis P des Gebuehrenverzeichnisses
#   klasse        Steigerungsklasse nach § 5 GOAE:
#                   aerztlich  Abs. 2  - Regelsatz 2,3   Hoechstsatz 3,5
#                   technisch  Abs. 3  - Regelsatz 1,8   Hoechstsatz 2,5
#                              (Abschnitte A, E und O)
#                   labor      Abs. 4  - Regelsatz 1,15  Hoechstsatz 1,3
#                              (Abschnitt M und Nummer 437)
#   regelsatz     Schwellenwert; darueber ist eine Begruendung noetig (§ 12 GOAE)
#   hoechstsatz   Hoechstsatz der Steigerungsklasse
#   herkunft      direkt = Punktzahl steht im Verzeichnis bei dieser Nummer
#                 sammel = Nummer gehoert zu einer Sammelposition; die Punktzahl
#                          steht in deren Ueberschrift ("... je Messgroesse 70
#                          7,98 Katalog 3512 ... 3514 Glukose ...")
nummer;bezeichnung;punktzahl;abschnitt;klasse;regelsatz;hoechstsatz;herkunft
208;Stärke- oder Gipsfixation, zusätzlich zu einem Verband;30;C;aerztlich;2.3;3.5;direkt
209;Großflächiges Auftragen von Externa (z.B. Salben, Cremes, Puder, Lotionen, Lösungen) zur Behandlung von Hautkrankheiten mindestens einer Körperregion (Extremität, Kopf, Brust, Bauch, Rücken), je Sitzung;150;C;aerztlich;2.3;3.5;direkt
210;Kleiner Schienenverband - auch als Notverband bei Frakturen -;75;C;aerztlich;2.3;3.5;direkt
211;Kleiner Schienenverband - bei Wiederanlegung derselben, gegebenenfalls auch veränderten Schiene -;60;C;aerztlich;2.3;3.5;direkt
212;Schienenverband mit Einschluß von mindestens zwei großen Gelenken (Schulter-, Ellenbogen-, Hand-, Knie-, Fußgelenk) - auch als Notverband bei Frakturen -;160;C;aerztlich;2.3;3.5;direkt
213;Schienenverband mit Einschluß von mindestens zwei großen Gelenken (Schulter-, Ellenbogen-, Hand-, Knie-, Fußgelenk) - bei Wiederanlegung derselben, gegebenenfalls auch veränderten Schiene -;100;C;aerztlich;2.3;3.5;direkt
214;Abduktionsschienenverband - auch mit Stärke- oder Gipsfixation -;240;C;aerztlich;2.3;3.5;direkt
217;Streckverband;230;C;aerztlich;2.3;3.5;direkt
218;Streckverband mit Nagel- oder Drahtextension;660;C;aerztlich;2.3;3.5;direkt
225;Gipsfingerling;70;C;aerztlich;2.3;3.5;direkt
227;Gipshülse mit Gelenkschienen;300;C;aerztlich;2.3;3.5;direkt
228;Gipsschienenverband oder Gipspantoffel;190;C;aerztlich;2.3;3.5;direkt
229;Gipsschienenverband - bei Wiederanlegung derselben, gegebenenfalls auch veränderten Schiene -;130;C;aerztlich;2.3;3.5;direkt
230;Zirkulärer Gipsverband - gegebenenfalls als Gipstutor -;300;C;aerztlich;2.3;3.5;direkt
231;Zirkulärer Gehgipsverband des Unterschenkels;360;C;aerztlich;2.3;3.5;direkt
232;Zirkulärer Gipsverband mit Einschluß von mindestens zwei großen Gelenken (Schulter-, Ellenbogen-, Hand-, Knie-, Sprunggelenk);430;C;aerztlich;2.3;3.5;direkt
235;Zirkulärer Gipsverband des Halses einschließlich Kopfstütze - auch mit Schultergürtel -;750;C;aerztlich;2.3;3.5;direkt
236;Zirkulärer Gipsverband des Rumpfes;940;C;aerztlich;2.3;3.5;direkt
237;Gips- oder Gipsschienenverband mit Einschluß von mindestens zwei großen Gelenken (Schulter-, Ellenbogen-, Hand-, Knie-, Fußgelenk);370;C;aerztlich;2.3;3.5;direkt
238;Gipsschienenverband mit Einschluß von mindestens zwei großen Gelenken (Schulter-, Ellenbogen-, Hand-, Knie-, Fußgelenk) - bei Wiederanlegung derselben, gegebenenfalls auch veränderten Schiene -;200;C;aerztlich;2.3;3.5;direkt
239;Gipsverband für Arm mit Schulter oder Bein mit Beckengürtel;750;C;aerztlich;2.3;3.5;direkt
240;Gipsbett oder Nachtschale für den Rumpf;940;C;aerztlich;2.3;3.5;direkt
245;Quengelverband zusätzlich zum jeweiligen Gipsverband;110;C;aerztlich;2.3;3.5;direkt
246;Abnahme des zirkulären Gipsverbands;150;C;aerztlich;2.3;3.5;direkt
247;Fensterung, Spaltung, Schieneneinsetzung, Anlegung eines Gehbügels oder einer Abrollsohle bei einem nicht an demselben Tag angelegten Gipsverband;110;C;aerztlich;2.3;3.5;direkt
250;Blutentnahme mittels Spritze, Kanüle oder Katheter aus der Vene;40;C;technisch;1.8;2.5;direkt
250a;Kapillarblutentnahme bei Kindern bis zum vollendeten 8. Lebensjahr;40;C;technisch;1.8;2.5;direkt
251;Blutentnahme mittels Spritze oder Kanüle aus der Arterie;60;C;aerztlich;2.3;3.5;direkt
252;Injektion, subkutan, submukös, intrakutan oder intramuskulär;40;C;aerztlich;2.3;3.5;direkt
253;Injektion, intravenös;70;C;aerztlich;2.3;3.5;direkt
254;Injektion, intraarteriell;80;C;aerztlich;2.3;3.5;direkt
255;Injektion, intraartikulär oder perineural;95;C;aerztlich;2.3;3.5;direkt
256;Injektion in den Periduralraum;185;C;aerztlich;2.3;3.5;direkt
257;Injektion in den Subarachnoidalraum;400;C;aerztlich;2.3;3.5;direkt
258;Injektion, intraaortal oder intrakardial -ausgenommen bei liegendem Aorten- oder Herzkatheter -;180;C;aerztlich;2.3;3.5;direkt
259;Legen eines Periduralkatheters - in Verbindung mit der Anlage eines subkutanen Medikamentenreservoirs -;600;C;aerztlich;2.3;3.5;direkt
260;Legen eines arteriellen Katheters oder eines zentralen Venenkatheters - einschließlich Fixation -;200;C;aerztlich;2.3;3.5;direkt
261;Einbringung von Arzneimitteln in einen parenteralen Katheter;30;C;aerztlich;2.3;3.5;direkt
262;Transfemorale Blutentnahme mittels Katheter aus dem Bereich der Nierenvene(n);450;C;aerztlich;2.3;3.5;direkt
263;Subkutane Hyposensibilisierungsbehandlung (Desensibilisierung), je Sitzung;90;C;aerztlich;2.3;3.5;direkt
264;Injektions- und/oder Infiltrationsbehandlung der Prostata, je Sitzung;120;C;aerztlich;2.3;3.5;direkt
